   Compiling tldr-cli v0.3.0 (/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli)
test luau_sql_injection_positive ... FAILED
test lua_xss_string_literal_fp ... ok
test lua_xss_positive ... ok
test lua_sql_injection_positive ... FAILED
test lua_sql_injection_string_literal_fp ... ok
test luau_command_injection_string_literal_fp ... ok
test luau_path_traversal_positive ... ok
test ocaml_command_injection_string_literal_fp ... ok
test luau_path_traversal_string_literal_fp ... ok
test luau_xss_positive ... ok
test ocaml_command_injection_positive ... ok
test luau_sql_injection_string_literal_fp ... ok
test luau_xss_string_literal_fp ... ok
test ocaml_deserialization_positive ... ok
test ocaml_deserialization_string_literal_fp ... ok
test ocaml_path_traversal_positive ... ok
test ocaml_path_traversal_string_literal_fp ... ok
test ocaml_sql_injection_positive ... FAILED
test php_command_injection_positive ... ok
test ocaml_sql_injection_string_literal_fp ... ok
test php_command_injection_string_literal_fp ... ok
test php_path_traversal_string_literal_fp ... ok
test php_deserialization_positive ... ok
test php_path_traversal_positive ... ok
test php_xss_positive ... ok
test python_command_injection_positive ... ok
test php_xss_string_literal_fp ... ok
test php_ssrf_string_literal_fp ... ok
test php_deserialization_string_literal_fp ... ok
test php_sql_injection_positive ... ok
test python_command_injection_string_literal_fp ... ok
test php_sql_injection_string_literal_fp ... ok
test python_path_traversal_string_literal_fp ... ok
test python_deserialization_string_literal_fp ... ok
test python_sql_injection_string_literal_fp ... ok
test python_deserialization_positive ... ok
test php_ssrf_positive ... ok
test python_path_traversal_positive ... ok
test ruby_command_injection_positive ... FAILED
test python_ssrf_positive ... ok
test python_sql_injection_positive ... ok
test python_xss_positive ... FAILED
test ruby_path_traversal_positive ... ok
test ruby_command_injection_string_literal_fp ... ok
test python_ssrf_string_literal_fp ... ok
test ruby_sql_injection_string_literal_fp ... ok
test ruby_deserialization_positive ... ok
test ruby_deserialization_string_literal_fp ... ok
test python_xss_string_literal_fp ... ok
test ruby_ssrf_string_literal_fp ... ok
test ruby_path_traversal_string_literal_fp ... ok
test ruby_sql_injection_positive ... FAILED
test ruby_ssrf_positive ... ok
test ruby_xss_positive ... ok
test rust_command_injection_string_literal_fp ... ok
test rust_deserialization_string_literal_fp ... ok
test rust_path_traversal_string_literal_fp ... ok
test rust_deserialization_positive ... FAILED
test rust_ssrf_positive ... FAILED
test ruby_xss_string_literal_fp ... ok
test rust_command_injection_positive ... FAILED
test scala_command_injection_string_literal_fp ... ok
test rust_path_traversal_positive ... FAILED
test rust_ssrf_string_literal_fp ... ok
test scala_command_injection_positive ... ok
test scala_path_traversal_positive ... FAILED
test scala_deserialization_positive ... FAILED
test scala_deserialization_string_literal_fp ... ok
test scala_sql_injection_positive ... ok
test scala_path_traversal_string_literal_fp ... ok
test swift_command_injection_positive ... FAILED
test typescript_command_injection_positive ... ok
test scala_sql_injection_string_literal_fp ... ok
test swift_sql_injection_positive ... FAILED
test swift_path_traversal_positive ... FAILED
test swift_command_injection_string_literal_fp ... ok
test typescript_command_injection_string_literal_fp ... ok
test typescript_path_traversal_positive ... ok
test typescript_sql_injection_positive ... ok
test swift_sql_injection_string_literal_fp ... ok
test typescript_deserialization_positive ... FAILED
test typescript_deserialization_string_literal_fp ... ok
test swift_path_traversal_string_literal_fp ... ok
test typescript_sql_injection_string_literal_fp ... ok
test typescript_path_traversal_string_literal_fp ... ok
test typescript_ssrf_string_literal_fp ... ok
test typescript_xss_string_literal_fp ... ok
test typescript_xss_positive ... FAILED
test typescript_ssrf_positive ... ok

failures:

---- cpp_command_injection_positive stdout ----

thread 'cpp_command_injection_positive' (223567872) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:707:5:
expected ≥1 command_injection finding for fixture cpp/command_injection_positive.cpp (lang=cpp); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 7,
  "files_scanned": 1
}
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace

---- csharp_command_injection_positive stdout ----

thread 'csharp_command_injection_positive' (223567888) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:730:5:
expected ≥1 command_injection finding for fixture csharp/command_injection_positive.cs (lang=csharp); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 8,
  "files_scanned": 1
}

---- c_sql_injection_positive stdout ----

thread 'c_sql_injection_positive' (223567870) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:86:5:
expected ≥1 sql_injection finding for fixture c/sql_injection_positive.c (lang=c); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 5,
  "files_scanned": 1
}

---- cpp_deserialization_positive stdout ----

thread 'cpp_deserialization_positive' (223567878) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1696:5:
expected ≥1 deserialization finding for fixture cpp/deserialization_positive.cpp (lang=cpp); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 4,
  "files_scanned": 1
}

---- cpp_path_traversal_positive stdout ----

thread 'cpp_path_traversal_positive' (223567881) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1121:5:
expected ≥1 path_traversal finding for fixture cpp/path_traversal_positive.cpp (lang=cpp); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 5,
  "files_scanned": 1
}

---- cpp_sql_injection_positive stdout ----

thread 'cpp_sql_injection_positive' (223567884) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:109:5:
expected ≥1 sql_injection finding for fixture cpp/sql_injection_positive.cpp (lang=cpp); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 8,
  "files_scanned": 1
}

---- elixir_sql_injection_positive stdout ----

thread 'elixir_sql_injection_positive' (223568305) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:155:5:
expected ≥1 sql_injection finding for fixture elixir/sql_injection_positive.ex (lang=elixir); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 5,
  "files_scanned": 1
}

---- csharp_xss_positive stdout ----

thread 'csharp_xss_positive' (223568280) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:477:5:
expected ≥1 xss finding for fixture csharp/xss_positive.cs (lang=csharp); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 3,
  "files_scanned": 1
}

---- csharp_deserialization_positive stdout ----

thread 'csharp_deserialization_positive' (223568273) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1719:5:
expected ≥1 deserialization finding for fixture csharp/deserialization_positive.cs (lang=csharp); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 4,
  "files_scanned": 1
}

---- elixir_path_traversal_positive stdout ----

thread 'elixir_path_traversal_positive' (223568290) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1167:5:
expected ≥1 path_traversal finding for fixture elixir/path_traversal_positive.ex (lang=elixir); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 1,
  "files_scanned": 1
}

---- elixir_command_injection_positive stdout ----

thread 'elixir_command_injection_positive' (223568282) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:753:5:
expected ≥1 command_injection finding for fixture elixir/command_injection_positive.ex (lang=elixir); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 1,
  "files_scanned": 1
}

---- csharp_path_traversal_positive stdout ----

thread 'csharp_path_traversal_positive' (223568275) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1144:5:
expected ≥1 path_traversal finding for fixture csharp/path_traversal_positive.cs (lang=csharp); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- java_deserialization_positive stdout ----

thread 'java_deserialization_positive' (223568641) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1765:5:
expected ≥1 deserialization finding for fixture java/deserialization_positive.java (lang=java); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 6,
  "files_scanned": 1
}

---- java_path_traversal_positive stdout ----

thread 'java_path_traversal_positive' (223568643) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1213:5:
expected ≥1 path_traversal finding for fixture java/path_traversal_positive.java (lang=java); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- javascript_deserialization_positive stdout ----

thread 'javascript_deserialization_positive' (223568836) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1788:5:
expected ≥1 deserialization finding for fixture javascript/deserialization_positive.js (lang=javascript); got: {
  "findings": [
    {
      "vuln_type": "sql_injection",
      "severity": "high",
      "cwe_id": "CWE-89",
      "title": "SqlInjection",
      "description": "SqlQuery with unsanitized input",
      "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/deserialization_positive.js",
      "line": 2,
      "column": 0,
      "taint_flow": [
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/deserialization_positive.js",
          "line": 2,
          "column": 0,
          "code_snippet": "const d = req.query.d;",
          "description": "Source: Express query/route parameter"
        },
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/deserialization_positive.js",
          "line": 2,
          "column": 0,
          "code_snippet": "const d = req.query.d;",
          "description": "Sink: SqlQuery"
        }
      ],
      "remediation": "Use parameterized queries or prepared statements instead of string concatenation",
      "confidence": 0.85
    },
    {
      "vuln_type": "command_injection",
      "severity": "high",
      "cwe_id": "CWE-78",
      "title": "CommandInjection",
      "description": "CodeEval with unsanitized input",
      "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/deserialization_positive.js",
      "line": 3,
      "column": 0,
      "taint_flow": [
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/deserialization_positive.js",
          "line": 2,
          "column": 0,
          "code_snippet": "const d = req.query.d;",
          "description": "Source: Express query/route parameter"
        },
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/deserialization_positive.js",
          "line": 3,
          "column": 0,
          "code_snippet": "eval(d);",
          "description": "Sink: CodeEval"
        }
      ],
      "remediation": "Use subprocess with shell=False and pass arguments as a list, or use shlex.quote()",
      "confidence": 0.85
    }
  ],
  "summary": {
    "total_findings": 2,
    "by_severity": {
      "high": 2
    },
    "by_type": {
      "sqlinjection": 1,
      "commandinjection": 1
    },
    "files_with_vulns": 1
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- javascript_xss_positive stdout ----

thread 'javascript_xss_positive' (223569050) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:523:5:
expected ≥1 xss finding for fixture javascript/xss_positive.js (lang=javascript); got: {
  "findings": [
    {
      "vuln_type": "sql_injection",
      "severity": "high",
      "cwe_id": "CWE-89",
      "title": "SqlInjection",
      "description": "SqlQuery with unsanitized input",
      "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/xss_positive.js",
      "line": 2,
      "column": 0,
      "taint_flow": [
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/xss_positive.js",
          "line": 2,
          "column": 0,
          "code_snippet": "const name = req.query.name;",
          "description": "Source: Express query/route parameter"
        },
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/xss_positive.js",
          "line": 2,
          "column": 0,
          "code_snippet": "const name = req.query.name;",
          "description": "Sink: SqlQuery"
        }
      ],
      "remediation": "Use parameterized queries or prepared statements instead of string concatenation",
      "confidence": 0.85
    },
    {
      "vuln_type": "path_traversal",
      "severity": "high",
      "cwe_id": "CWE-22",
      "title": "PathTraversal",
      "description": "FileWrite with unsanitized input",
      "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/xss_positive.js",
      "line": 3,
      "column": 0,
      "taint_flow": [
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/xss_positive.js",
          "line": 2,
          "column": 0,
          "code_snippet": "const name = req.query.name;",
          "description": "Source: Express query/route parameter"
        },
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/javascript/xss_positive.js",
          "line": 3,
          "column": 0,
          "code_snippet": "res.send(\"<h1>\" + name + \"</h1>\");",
          "description": "Sink: FileWrite"
        }
      ],
      "remediation": "Validate paths against a whitelist or use realpath() and verify the result is within allowed directories",
      "confidence": 0.85
    }
  ],
  "summary": {
    "total_findings": 2,
    "by_severity": {
      "high": 2
    },
    "by_type": {
      "sqlinjection": 1,
      "pathtraversal": 1
    },
    "files_with_vulns": 1
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- luau_sql_injection_positive stdout ----

thread 'luau_sql_injection_positive' (223569486) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:293:5:
expected ≥1 sql_injection finding for fixture luau/sql_injection_positive.luau (lang=luau); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 0,
  "files_scanned": 1
}

---- lua_sql_injection_positive stdout ----

thread 'lua_sql_injection_positive' (223569324) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:270:5:
expected ≥1 sql_injection finding for fixture lua/sql_injection_positive.lua (lang=lua); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 3,
  "files_scanned": 1
}

---- ocaml_sql_injection_positive stdout ----

thread 'ocaml_sql_injection_positive' (223569660) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:316:5:
expected ≥1 sql_injection finding for fixture ocaml/sql_injection_positive.ml (lang=ocaml); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 1,
  "files_scanned": 1
}

---- ruby_command_injection_positive stdout ----

thread 'ruby_command_injection_positive' (223570190) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:983:5:
expected ≥1 command_injection finding for fixture ruby/command_injection_positive.rb (lang=ruby); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- python_xss_positive stdout ----

thread 'python_xss_positive' (223570176) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:615:5:
expected ≥1 xss finding for fixture python/xss_positive.py (lang=python); got: {
  "findings": [
    {
      "vuln_type": "path_traversal",
      "severity": "high",
      "cwe_id": "CWE-22",
      "title": "PathTraversal",
      "description": "FileWrite with unsanitized input",
      "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/python/xss_positive.py",
      "line": 8,
      "column": 0,
      "taint_flow": [
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/python/xss_positive.py",
          "line": 7,
          "column": 0,
          "code_snippet": "name = request.args.get(\"name\")",
          "description": "Source: Flask GET/POST parameter"
        },
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/python/xss_positive.py",
          "line": 8,
          "column": 0,
          "code_snippet": "response.write(\"<h1>\" + name + \"</h1>\")",
          "description": "Sink: FileWrite"
        }
      ],
      "remediation": "Validate paths against a whitelist or use realpath() and verify the result is within allowed directories",
      "confidence": 0.85
    }
  ],
  "summary": {
    "total_findings": 1,
    "by_severity": {
      "high": 1
    },
    "by_type": {
      "pathtraversal": 1
    },
    "files_with_vulns": 1
  },
  "scan_duration_ms": 1,
  "files_scanned": 1
}

---- ruby_sql_injection_positive stdout ----

thread 'ruby_sql_injection_positive' (223570356) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:385:5:
expected ≥1 sql_injection finding for fixture ruby/sql_injection_positive.rb (lang=ruby); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 1,
  "files_scanned": 1
}

---- rust_deserialization_positive stdout ----

thread 'rust_deserialization_positive' (223570506) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1926:5:
expected ≥1 deserialization finding for fixture rust/deserialization_positive.rs (lang=rust); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 0,
  "files_scanned": 1
}

---- rust_ssrf_positive stdout ----

thread 'rust_ssrf_positive' (223570572) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1650:5:
expected ≥1 ssrf finding for fixture rust/ssrf_positive.rs (lang=rust); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 0,
  "files_scanned": 1
}

---- rust_command_injection_positive stdout ----

thread 'rust_command_injection_positive' (223570430) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1006:5:
expected ≥1 command_injection finding for fixture rust/command_injection_positive.rs (lang=rust); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 0,
  "files_scanned": 1
}

---- rust_path_traversal_positive stdout ----

thread 'rust_path_traversal_positive' (223570570) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1420:5:
expected ≥1 path_traversal finding for fixture rust/path_traversal_positive.rs (lang=rust); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 0,
  "files_scanned": 1
}

---- scala_path_traversal_positive stdout ----

thread 'scala_path_traversal_positive' (223570677) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1443:5:
expected ≥1 path_traversal finding for fixture scala/path_traversal_positive.scala (lang=scala); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- scala_deserialization_positive stdout ----

thread 'scala_deserialization_positive' (223570649) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1949:5:
expected ≥1 deserialization finding for fixture scala/deserialization_positive.scala (lang=scala); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- swift_command_injection_positive stdout ----

thread 'swift_command_injection_positive' (223570691) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1052:5:
expected ≥1 command_injection finding for fixture swift/command_injection_positive.swift (lang=swift); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- swift_sql_injection_positive stdout ----

thread 'swift_sql_injection_positive' (223570739) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:431:5:
expected ≥1 sql_injection finding for fixture swift/sql_injection_positive.swift (lang=swift); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 1,
  "files_scanned": 1
}

---- swift_path_traversal_positive stdout ----

thread 'swift_path_traversal_positive' (223570731) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1466:5:
expected ≥1 path_traversal finding for fixture swift/path_traversal_positive.swift (lang=swift); got: {
  "findings": [],
  "summary": {
    "total_findings": 0,
    "by_severity": {},
    "by_type": {},
    "files_with_vulns": 0
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- typescript_deserialization_positive stdout ----

thread 'typescript_deserialization_positive' (223570790) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:1972:5:
expected ≥1 deserialization finding for fixture typescript/deserialization_positive.ts (lang=typescript); got: {
  "findings": [
    {
      "vuln_type": "sql_injection",
      "severity": "high",
      "cwe_id": "CWE-89",
      "title": "SqlInjection",
      "description": "SqlQuery with unsanitized input",
      "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/typescript/deserialization_positive.ts",
      "line": 2,
      "column": 0,
      "taint_flow": [
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/typescript/deserialization_positive.ts",
          "line": 2,
          "column": 0,
          "code_snippet": "const d = req.query.d;",
          "description": "Source: Express query/route parameter"
        },
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/typescript/deserialization_positive.ts",
          "line": 2,
          "column": 0,
          "code_snippet": "const d = req.query.d;",
          "description": "Sink: SqlQuery"
        }
      ],
      "remediation": "Use parameterized queries or prepared statements instead of string concatenation",
      "confidence": 0.85
    },
    {
      "vuln_type": "command_injection",
      "severity": "high",
      "cwe_id": "CWE-78",
      "title": "CommandInjection",
      "description": "CodeEval with unsanitized input",
      "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/typescript/deserialization_positive.ts",
      "line": 3,
      "column": 0,
      "taint_flow": [
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/typescript/deserialization_positive.ts",
          "line": 2,
          "column": 0,
          "code_snippet": "const d = req.query.d;",
          "description": "Source: Express query/route parameter"
        },
        {
          "file": "/Users/cosimo/Desktop/PatchWork/tldr-code/crates/tldr-cli/tests/fixtures/vuln_migration_v1/typescript/deserialization_positive.ts",
          "line": 3,
          "column": 0,
          "code_snippet": "eval(d);",
          "description": "Sink: CodeEval"
        }
      ],
      "remediation": "Use subprocess with shell=False and pass arguments as a list, or use shlex.quote()",
      "confidence": 0.85
    }
  ],
  "summary": {
    "total_findings": 2,
    "by_severity": {
      "high": 2
    },
    "by_type": {
      "sqlinjection": 1,
      "commandinjection": 1
    },
    "files_with_vulns": 1
  },
  "scan_duration_ms": 2,
  "files_scanned": 1
}

---- typescript_xss_positive stdout ----

thread 'typescript_xss_positive' (223570977) panicked at crates/tldr-cli/tests/vuln_migration_v1_red.rs:661:5:
expected ≥1 xss finding for fixture typescript/xss_positive.ts (lang=typescript); got: {
  "findings": [
    {
      "vuln_type": "sql_injection",
      "severity": "high",
      "cwe_id": "CWE-89",
      "title": "SqlInjection",
      "description": "SqlQuery with unsanitized input",
